"","x"
"1","Lactobacillus_crispatus"
"2","Lactobacillus_gasseri"
"3","Lachnospiraceae"
"4","Atopobium"
"5","Gardnerella"
"6","Lactobacillus_iners"
"7","Enterococcus"
"8","Methylophilus"
"9","Comamonadaceae"
"10","Other_Lactobacillus"
"11","Sneathia"
"12","Peptoniphilus"
"13","Bradyrhizobiaceae"
"14","Prevotellaceae"
"15","Megasphaera"
"16","Prevotella"
"17","Lactobacillus_jensenii"
"18","Clostridiales"
"19","Finegoldia"
"20","Mobiluncus"
"21","Coriobacteriaceae"
"22","Porphyromonas"
"23","Dialister"
"24","Sutterella"
"25","Faecalibacterium"
"26","Coprococcus"
"27","Roseburia"
"28","Clostridiaceae"
"29","Anaerococcus"
"30","Peptostreptococcus"
"31","TM7"
"32","Varibaculum"
"33","Propionimicrobium"
"34","Alloscardovia"
"35","Porphyromonadaceae"
